Ref,Val,Package,PosX,PosY,Rot,Side
"C4","1nF","CL05B102KB5NNNC",66.852800,-69.037200,90.000000,bottom
"C10","5pF","CL05C050CB5NNNC",63.906400,-100.025200,180.000000,bottom
"C11","5pF","CL05C050CB5NNNC",61.264800,-99.974400,0.000000,bottom
"C13","0.47uF","CL05A474KP5NNNC",63.500000,-131.673600,180.000000,bottom
"C15","270pF","CC0603JRNPO9BN271",66.040000,-130.251200,180.000000,bottom
"C17","270pF","CC0603JRNPO9BN271",73.660000,-130.683000,270.000000,bottom
"C18","270pF","CC0603JRNPO9BN271",71.983600,-130.898000,90.000000,bottom
"C19","0.47uF","CL05A474KP5NNNC",73.456800,-127.508000,180.000000,bottom
"C22","1uF","CL10B105MO8NNWC",39.420800,-124.002800,0.000000,bottom
"C23","0.47uF","CL05A474KP5NNNC",41.452800,-131.876800,0.000000,bottom
"C24","1uF","CL10B105MO8NNWC",38.658800,-121.767600,90.000000,bottom
"C25","270pF","CC0603JRNPO9BN271",43.942000,-132.638800,270.000000,bottom
"C28","270pF","CC0603JRNPO9BN271",46.532800,-132.638800,270.000000,bottom
"C29","0.47uF","CL05A474KP5NNNC",48.006000,-132.130800,90.000000,bottom
"C32","1uF","CL10B105MO8NNWC",71.729600,-90.170000,180.000000,bottom
"C33","0.47uF","CL05A474KP5NNNC",69.951600,-84.886800,90.000000,bottom
"C34","1uF","CL10B105MO8NNWC",71.729600,-91.643200,0.000000,bottom
"C35","270pF","CC0603JRNPO9BN271",67.577600,-83.972400,180.000000,bottom
"C36","270pF","CC0603JRNPO9BN271",69.621400,-80.252200,90.000000,bottom
"C37","270pF","CC0603JRNPO9BN271",66.141600,-81.344400,90.000000,bottom
"C38","270pF","CC0603JRNPO9BN271",66.026400,-85.598000,0.000000,bottom
"C39","0.47uF","CL05A474KP5NNNC",62.382400,-84.582000,90.000000,bottom
"C43","0.47uF","CL05A474KP5NNNC",48.361600,-82.092800,270.000000,bottom
"C44","1uF","CL10B105MO8NNWC",51.358800,-89.763600,0.000000,bottom
"C45","270pF","CC0603JRNPO9BN271",45.987600,-82.092800,180.000000,bottom
